canonical_id,old_theme_label,new_cluster_id,new_theme_label,is_mixed,coherence,supports_share,new_theme_description
c31,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c310,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c311,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c312,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c313,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c314,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c315,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c316,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c317,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c318,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c319,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c32,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c320,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c321,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c322,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c323,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c324,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c325,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c326,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c327,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c328,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c329,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c33,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c330,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c331,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c332,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c334,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c336,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c337,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c338,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c339,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c34,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c340,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c341,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c342,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c343,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c344,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c345,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c347,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c348,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c349,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c35,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c350,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c351,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c352,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c353,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c354,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c356,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c357,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c358,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c359,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c36,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c360,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c361,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c362,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c363,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c364,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c365,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c366,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c367,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c368,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c369,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c37,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c370,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c371,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c372,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c373,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c374,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c375,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c376,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c377,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c378,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c379,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c38,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c380,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c381,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c382,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c383,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c384,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c385,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c386,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c387,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c388,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c389,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c39,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c390,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c391,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c392,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c393,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c394,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c395,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c397,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c398,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c399,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c4,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c40,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c400,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c401,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c402,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c403,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c404,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c405,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c406,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c407,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c408,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c409,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c41,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c410,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c412,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c413,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c416,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c417,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c418,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c419,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c42,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c420,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c421,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c422,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c423,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c424,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c426,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c428,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c429,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c43,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c430,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c431,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c432,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c433,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c434,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c436,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c437,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c438,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c439,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c44,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c440,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c441,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c442,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c444,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c445,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c446,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c447,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c448,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c449,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c45,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c451,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c452,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c453,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c456,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c457,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c458,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c46,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c463,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c466,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c47,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c470,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c471,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c474,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c476,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c478,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c479,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c48,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c480,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c481,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c49,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c5,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c50,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c51,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c52,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c53,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c54,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c55,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c56,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c57,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c58,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c59,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c6,Traffic Stop Debate,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c60,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c61,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c62,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c63,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c64,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c65,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c66,Short Minimal Reactions,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c67,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c68,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c69,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c7,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c70,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c71,Movie Name Requests,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c72,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c73,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c74,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c75,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c76,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c77,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c78,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c79,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c8,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c80,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c81,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c82,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c83,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c84,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c85,Critical Comments About Woman,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c86,Short Minimal Reactions,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c87,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c88,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c89,Smooth Move Compliments,2,Praising Smooth Execution,0,0.8418,1.0000,"Comments complimenting something as being 'smooth' - likely referring to a skillful action, clever move, or well-executed moment. All comments use variations of 'smooth' with emphasis through spelling or emoji."
c9,MIXED,1,MIXED,1,0.7794,0.1500,"This cluster contains mostly question marks, confusion reactions ('??', 'Huh?', 'What?'), single letters, generic reactions ('Nice', 'oh', 'yes'), and one request for a name. These are non-topical reactions expressing confusion or minimal engagement, not comments about any specific subject matter."
c90,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c91,Short Minimal Reactions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c92,AI Content Questions,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c93,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c94,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c95,Knee Pun Wordplay,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c96,MIXED,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c97,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
c98,Movie Name Requests,0,Asking for Movie Name,0,0.8044,0.9500,Comments requesting the title or name of a movie being discussed or shown. Nearly all comments directly ask 'what movie?' or 'movie name?' with variations in punctuation and phrasing.
c99,Smooth Move Compliments,-1,MIXED,1,0.0000,0.0000,HDBSCAN noise point — no nearby cluster.
